monitor_rank,monitor_score,host_id,host_name,host_type,state_scope,city_or_region,priority_tier,comp_likelihood,influence_score,channel_type,channel_value,url,purpose,update_frequency_guess,recommended_cadence,access_method,channel_priority,channel_status,reason,next_action
1,110,host_portside_osborne_park,Portside Boulders Osborne Park,gym_operator,WA,Perth,A,High,5,website_events,Portside Osborne Park venue page,https://portsideboulders.com.au/locations/osborne-park/,West Coast Blocs and class timetable,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
2,110,host_sicg_st_peters,Sydney Indoor Climbing Gym St Peters,gym_operator,NSW,Sydney,A,High,5,website_events,SICG St Peters site,https://indoorclimbing.com.au/stpeters/,venue updates and climbing community info,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
3,107,host_9_degrees_alexandria,9 Degrees Alexandria,gym_operator,NSW,Sydney,A,High,4,website_events,9 Degrees locations page,https://www.9degrees.com.au/locations,venue updates and reset cadence,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
4,107,host_9_degrees_enoggera,9 Degrees Enoggera,gym_operator,QLD,Brisbane,A,High,4,website_events,9 Degrees Brisbane events page,https://www.9degrees.com.au/brisbaneevents,Brisbane comps and community events,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
5,107,host_9_degrees_morningside,9 Degrees Morningside,gym_operator,QLD,Brisbane,A,High,4,website_events,9 Degrees Brisbane events page,https://www.9degrees.com.au/brisbaneevents,Brisbane comps and community events,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
6,107,host_9_degrees_waterloo,9 Degrees Waterloo,gym_operator,NSW,Sydney,A,High,4,website_events,9 Degrees locations page,https://www.9degrees.com.au/locations,venue updates and reset cadence,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
7,107,host_beyond_bouldering_kent_town,Beyond Bouldering Kent Town,gym_operator,SA,Adelaide,A,High,4,website_events,Beyond Kent Town venue page,https://beyondbouldering.com.au/about/kenttown/,venue updates and reset cadence,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
8,107,host_beyond_bouldering_thebarton,Beyond Bouldering Thebarton,gym_operator,SA,Adelaide,A,High,4,website_events,Beyond official site,https://beyondbouldering.com.au/about/,operator news and event recaps,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
9,107,host_northside_boulders_brunswick,Northside Boulders Brunswick,gym_operator,VIC,Melbourne,A,High,4,website_events,Northside official site,https://northsideboulders.com/,calendar and venue updates,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
10,95,host_cutloose,Cutloose Indoor Climbing,gym_operator,QLD,Upper Coomera/Gold Coast,B,High,4,website_events,Cutloose official site,https://cutlooseindoorclimbing.com.au/,member comps and gym updates,high,twice weekly during launch,public web,A,verified,high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
11,95,host_cutloose,Cutloose Indoor Climbing,gym_operator,QLD,Upper Coomera/Gold Coast,B,High,4,instagram,cutlooseindoorclimbing,https://www.instagram.com/cutlooseindoorclimbing/,gym updates guest setters and promo posts,high,twice weekly during launch,psf_climb login,A,verified,high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
12,95,host_elevate_villawood,Elevate Climbing Gym,gym_operator,NSW,Sydney,B,High,4,website_events,Elevate official site,https://www.elevateclimbing.com.au/,community nights and registration posts,high,twice weekly during launch,public web,A,verified,high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
13,95,host_elevate_villawood,Elevate Climbing Gym,gym_operator,NSW,Sydney,B,High,4,website_events,Elevate about page,https://www.elevateclimbing.com.au/about/,workshops social nights and founder context,high,twice weekly during launch,public web,A,verified,high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
14,95,host_hangdog,Hangdog Climbing Gym,gym_operator,NSW,Wollongong,B,High,4,website_events,Hangdog events page,https://hangdog.com.au/events,event announcements and community nights,high,twice weekly during launch,public web,A,verified,high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
15,95,host_hangdog,Hangdog Climbing Gym,gym_operator,NSW,Wollongong,B,High,4,website_events,Hangdog official site,https://hangdog.com.au/,hours and general venue updates,high,twice weekly during launch,public web,A,verified,high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
16,95,host_nomad_annandale,NOMAD Annandale,gym_operator,NSW,Sydney,B,High,4,website_events,NOMAD Annandale events page,https://www.nomadbouldering.com.au/locations/annandale,event announcements and community sessions,high,twice weekly during launch,public web,A,verified,high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
17,95,host_portside_oconnor,Portside Boulders O'Connor,gym_operator,WA,Perth,B,High,4,website_events,Portside contact page,https://portsideboulders.com.au/contact/,forms for venue hire group bookings and youth enquiries,high,twice weekly during launch,public web,A,verified,high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
18,95,host_the_nest_nowra,The Nest,gym_operator,NSW,Nowra/South Coast,B,High,4,website_events,The Nest official site,https://www.climbthenest.com.au/,event announcements and community sessions,high,twice weekly during launch,public web,A,verified,high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
19,92,host_beyond_bouldering_kent_town,Beyond Bouldering Kent Town,gym_operator,SA,Adelaide,A,High,4,website_events,Beyond climbing reset schedule,https://beyondbouldering.com.au/about/,reset schedule and venue activity,medium,weekly,public web,B,verified,A-tier host; high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
20,92,host_boulder_lab_brunswick,Boulder Lab Brunswick,gym_operator,VIC,Melbourne,A,High,4,website_events,Boulder Lab contact page,https://boulderlab.com.au/contact,venue updates and location details,medium,weekly,public web,B,verified,A-tier host; high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
21,92,host_boulder_lab_brunswick,Boulder Lab Brunswick,gym_operator,VIC,Melbourne,A,High,4,website_events,Boulder Lab official site,https://boulderlab.com.au/,news photos and facility updates,medium,weekly,public web,B,verified,A-tier host; high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
22,92,host_boulder_lab_clayton_south,Boulder Lab Clayton South,gym_operator,VIC,Melbourne,A,High,4,website_events,Boulder Lab contact page,https://boulderlab.com.au/contact,venue updates and location details,medium,weekly,public web,B,verified,A-tier host; high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
23,92,host_climb_brisbane,Climb Brisbane,gym_operator,QLD,Parkinson/Brisbane,A,High,4,website_events,Climb Brisbane adult squad page,https://climb-australia.com.au/brisbane-adults-squad/,adult program updates and community growth paths,medium,weekly,public web,B,verified,A-tier host; high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
24,92,host_climb_brisbane,Climb Brisbane,gym_operator,QLD,Parkinson/Brisbane,A,High,4,website_events,Climb Brisbane school groups page,https://climb-australia.com.au/brisbane-school-groups-bookings/,group bookings and youth program signal,medium,weekly,public web,B,verified,A-tier host; high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
25,92,host_northside_boulders_brunswick,Northside Boulders Brunswick,gym_operator,VIC,Melbourne,A,High,4,website_events,Northside locations section,https://northsideboulders.com/,Brunswick reset cadence and operating details,medium,weekly,public web,B,verified,A-tier host; high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
26,85,host_climb_fit_kirrawee,Climb Fit Kirrawee,gym_operator,NSW,Sydney,B,High,4,website_events,Climb Fit Kirrawee venue page,https://www.climbfit.com.au/location/climbfit-kirrawee/,classes and weekly resets,high,twice weekly during launch,public web,B,verified,high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
27,85,host_portside_oconnor,Portside Boulders O'Connor,gym_operator,WA,Perth,B,High,4,website_events,Portside OConnor venue page,https://portsideboulders.com.au/locations/oconnor/,reset cadence and special hours,high,twice weekly during launch,public web,B,verified,high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
28,85,host_pulse_adamstown,Pulse Climbing Adamstown,gym_operator,NSW,Newcastle,B,High,4,website_events,Pulse Adamstown venue page,https://pulseclimbing.com.au/locations/adamstown/,courses training and social nights,high,twice weekly during launch,public web,B,verified,high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
29,84,host_core_climbing,Core Climbing,gym_operator,QLD,Gold Coast/Carrara,B,High,4,website_events,Core Whats Happening link,https://www.coreclimbing.com.au/,community updates and promo activity,medium,weekly,public web,B,needs_review,high event likelihood; strong scene influence; channel needs review,Confirm this channel and check for upcoming events.
30,83,host_rise_climbing_albury,Rise Climbing Albury,gym_operator,NSW,Albury/Thurgoona,B,Medium,3,instagram,riseclimbingalbury,https://www.instagram.com/riseclimbingalbury/,community updates and event promos,high,twice weekly during launch,psf_climb login,A,needs_review,A-priority update channel; channel needs review,Confirm this channel and check for upcoming events.
31,82,host_gecko_climb,Gecko Climb,gym_operator,NT,Darwin,B,Medium,4,website_events,Gecko official site,https://geckoclimb.com.au/,venue updates and community events,high,twice weekly during launch,public web,A,verified,strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
32,80,host_climb_fit_st_leonards,Climb Fit St Leonards,gym_operator,NSW,Sydney,B,High,4,website_events,Climb Fit locations page,https://www.climbfit.com.au/location/,locations and venue updates,medium,weekly,public web,B,verified,high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
33,80,host_climb_fit_st_leonards,Climb Fit St Leonards,gym_operator,NSW,Sydney,B,High,4,website_events,Climb Fit contact page,https://www.climbfit.com.au/location/contact/,contact paths and booking enquiries,medium,weekly,public web,B,verified,high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
34,80,host_core_climbing,Core Climbing,gym_operator,QLD,Gold Coast/Carrara,B,High,4,website_events,Core courses and classes,https://www.coreclimbing.com.au/courses-classes/,classes and recurring program updates,medium,weekly,public web,B,verified,high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
35,80,host_portside_willetton,Portside Boulders Willetton,gym_operator,WA,Perth,B,High,4,website_events,Portside Willetton venue page,https://portsideboulders.com.au/locations/willetton/,reset cadence and class timetable,medium,weekly,public web,B,verified,high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
36,80,host_the_nest_nowra,The Nest,gym_operator,NSW,Nowra/South Coast,B,High,4,mailing_list,The Nest email signup,https://www.climbthenest.com.au/contact,project news and event updates,medium,weekly,public web,B,verified,high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
37,80,host_the_rock_geelong,The Rock Adventure Centre,gym_operator,VIC,Geelong/Newtown,B,High,4,website_events,The Rock official site,https://rockadventures.com.au/,community events and booking updates,medium,weekly,public web,B,verified,high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
38,80,host_vertical_reality_climbing,Vertical Reality Climbing,gym_operator,SA,Adelaide/Holden Hill,B,High,4,website_events,Vertical Reality official site,https://www.verticalrealityclimbing.com/,bookings and operating updates,medium,weekly,public web,B,verified,high event likelihood; strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
39,74,host_rise_climbing_albury,Rise Climbing Albury,gym_operator,NSW,Albury/Thurgoona,B,Medium,3,website_events,Rise official site,https://riseclimbing.com.au/,event announcements,medium,weekly,public web,A,verified,A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
40,73,host_beta_one,Beta One Bouldering Gym,gym_operator,NSW,Sydney/South Granville,B,Medium,3,instagram,betaonebouldering,https://www.instagram.com/betaonebouldering/,community updates and promo posts,high,twice weekly during launch,psf_climb login,B,needs_review,channel needs review,Confirm this channel and check for upcoming events.
41,72,host_blochaus_sydney_marrickville,BlocHaus Sydney Marrickville,gym_operator,NSW,Sydney,B,Medium,4,website_events,BlocHaus Sydney about page,https://syd.blochaus.com.au/about/,social events and reset cadence,high,twice weekly during launch,public web,B,verified,strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
42,69,host_industry_boulders,Industry Boulders,gym_operator,VIC,Geelong/Grovedale,B,Medium,3,instagram,industry.boulders,https://www.instagram.com/industry.boulders/,route resets and community updates,high,twice weekly during launch,psf_climb login,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
43,69,host_nomad_gladesville,NOMAD Gladesville,gym_operator,NSW,Sydney,B,Medium,3,website_events,NOMAD Gladesville venue page,https://www.nomadbouldering.com.au/locations/gladesville,venue updates and reset cadence,high,twice weekly during launch,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
44,69,host_pulse_gosford,Pulse Climbing Gosford,gym_operator,NSW,Central Coast,B,Medium,3,website_events,Pulse Gosford venue page,https://pulseclimbing.com.au/locations/gosford/,courses training and social nights,high,twice weekly during launch,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
45,69,host_pulse_warners_bay,Pulse Climbing Warners Bay,gym_operator,NSW,Lake Macquarie,B,Medium,3,website_events,Pulse Warners Bay venue page,https://pulseclimbing.com.au/locations/warners-bay/,monthly courses and bookings,high,twice weekly during launch,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
46,67,host_adrenaline_vault_belmont,Adrenaline Vault Belmont,gym_operator,WA,Perth,B,Medium,4,website_events,Adrenaline Vault Belmont page,https://adrenalinevault.com.au/locations/belmont/,group bookings and venue updates,medium,weekly,public web,B,verified,strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
47,67,host_adrenaline_vault_belmont,Adrenaline Vault Belmont,gym_operator,WA,Perth,B,Medium,4,website_events,Adrenaline Vault contact page,https://adrenalinevault.com.au/contact-us/,mailing list and contact updates,medium,weekly,public web,B,verified,strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
48,67,host_blochaus_canberra_fyshwick,BlocHaus Canberra Fyshwick,gym_operator,ACT,Canberra,B,Medium,4,website_events,BlocHaus Canberra about page,https://cbr.blochaus.com.au/about/,classes coaching and social updates,medium,weekly,public web,B,verified,strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
49,67,host_blochaus_melbourne_port,BlocHaus Melbourne Port Melbourne,gym_operator,VIC,Melbourne,B,Medium,4,website_events,BlocHaus Melbourne about page,https://mlb.blochaus.com.au/about/,classes coaching and reset cadence,medium,weekly,public web,B,verified,strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
50,67,host_gecko_climb,Gecko Climb,gym_operator,NT,Darwin,B,Medium,4,website_events,Northern Territory tourism listing,https://northernterritory.com/cn/zh/darwin-and-surrounds/see-and-do/gecko-climb,opening announcements and tourism-facing updates,medium,weekly,public web,B,verified,strong scene influence,"Check for upcoming events, deadlines, recaps, and sponsor clues."
51,64,host_9_degrees_chatswood,9 Degrees Chatswood,gym_operator,NSW,Sydney,B,Medium,3,website_events,9 Degrees locations page,https://www.9degrees.com.au/locations,venue updates and reset cadence,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
52,64,host_9_degrees_lane_cove,9 Degrees Lane Cove,gym_operator,NSW,Sydney,B,Medium,3,website_events,9 Degrees locations page,https://www.9degrees.com.au/locations,venue updates and reset cadence,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
53,64,host_9_degrees_parramatta,9 Degrees Parramatta,gym_operator,NSW,Sydney,B,Medium,3,website_events,9 Degrees locations page,https://www.9degrees.com.au/locations,venue updates and reset cadence,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
54,64,host_adrenaline_vault_cockburn,Adrenaline Vault Cockburn Central,gym_operator,WA,Perth,B,Medium,3,website_events,Adrenaline Vault Cockburn page,https://adrenalinevault.com.au/locations/cockburn/,group bookings and venue updates,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
55,64,host_ascend_bouldering,Ascend Bouldering,gym_operator,NSW,Coffs Harbour,B,Medium,3,website_events,Ascend official site,https://ascendbouldering.com.au/,venue updates and first-timer info,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
56,64,host_beta_one,Beta One Bouldering Gym,gym_operator,NSW,Sydney/South Granville,B,Medium,3,website_events,Beta One official site,https://betaone.com.au/,pricing and gym updates,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
57,64,host_beyond_bouldering_keswick,Beyond Bouldering Keswick,gym_operator,SA,Adelaide,B,Medium,3,website_events,Beyond Keswick venue page,https://beyondbouldering.com.au/about/keswick/,venue updates and reset cadence,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
58,64,host_boulder_lab_ferntree_gully,Boulder Lab Ferntree Gully,gym_operator,VIC,Melbourne,B,Medium,3,website_events,Boulder Lab contact page,https://boulderlab.com.au/contact,venue updates and location details,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
59,64,host_climb_fit_macquarie,Climb Fit Macquarie Park,gym_operator,NSW,Sydney,B,Medium,3,website_events,Climb Fit Macquarie Park venue page,https://www.climbfit.com.au/location/climb-fit-macquarie/,classes and venue updates,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
60,64,host_climb_toowoomba,Climb Toowoomba,gym_operator,QLD,Toowoomba,B,Medium,3,website_events,Climb Toowoomba sensory sessions,https://climb-australia.com.au/toowoomba-sensory-sessions/,special sessions and inclusive program updates,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
61,64,host_climb_toowoomba,Climb Toowoomba,gym_operator,QLD,Toowoomba,B,Medium,3,website_news,Climb Toowoomba update posts,https://climb-australia.com.au/climb-toowoomba-update-11-04-2024/,opening progress and venue news,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
62,64,host_friction_bouldering,Friction Bouldering,gym_operator,VIC,Ballarat/Delacombe,B,Medium,3,website_events,Friction official site,https://frictionbouldering.com/,classes coaching and party updates,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
63,64,host_friction_bouldering,Friction Bouldering,gym_operator,VIC,Ballarat/Delacombe,B,Medium,3,website_events,Friction coaching page,https://frictionbouldering.com/coaching,beginner classes and coaching updates,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
64,64,host_industry_boulders,Industry Boulders,gym_operator,VIC,Geelong/Grovedale,B,Medium,3,website_events,Industry Boulders official site,https://www.industryboulders.com.au/index.html,sessions events and membership updates,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
65,64,host_mandurah_irc,Mandurah Indoor Rock Climbing,gym_operator,WA,Mandurah,B,Medium,3,website_events,Mandurah official site,https://www.mandurahrockclimbing.com/,class and program updates,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
66,64,host_mandurah_irc,Mandurah Indoor Rock Climbing,gym_operator,WA,Mandurah,B,Medium,3,website_events,Mandurah adult climb page,https://www.mandurahrockclimbing.com/adult-climb,adult social climbs and beginner course updates,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
67,64,host_mandurah_irc,Mandurah Indoor Rock Climbing,gym_operator,WA,Mandurah,B,Medium,3,website_events,Mandurah event registration page,https://www.mandurahrockclimbing.com/boulder-jam-registration-form,competition and boulder bash registrations,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
68,64,host_northside_boulders_northcote,Northside Boulders Northcote,gym_operator,VIC,Melbourne,B,Medium,3,website_events,Northside locations section,https://northsideboulders.com/,Northcote reset cadence and operating details,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
69,64,host_portside_joondalup,Portside Boulders Joondalup,gym_operator,WA,Perth,B,Medium,3,website_events,Portside Joondalup venue page,https://portsideboulders.com.au/locations/joondalup/,reset cadence and venue updates,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
70,64,host_pulse_maitland,Pulse Climbing Maitland,gym_operator,NSW,Hunter Valley,B,Medium,3,website_events,Pulse contact and venue network page,https://pulseclimbing.com.au/contact/,venue contact and marketing updates,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
71,64,host_climbing_centre_penrith,The Climbing Centre Penrith,gym_operator,NSW,Sydney/Penrith,B,Medium,3,website_events,The Climbing Centre official site,https://climbingcentre.com.au/,classes and holiday updates,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
72,64,host_climbing_centre_penrith,The Climbing Centre Penrith,gym_operator,NSW,Sydney/Penrith,B,Medium,3,facebook,The Climbing Centre Penrith,https://www.facebook.com/TheClimbingCentrePenrith/,community posts and event reminders,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
73,64,host_lactic_factory_abbotsford,The Lactic Factory Abbotsford,gym_operator,VIC,Melbourne,B,Medium,3,website_events,Northside locations section,https://northsideboulders.com/,Abbotsford reset cadence and operating details,medium,weekly,public web,B,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
74,31,host_tannum_fitness,Tannum Fitness Centre,venue_operator,QLD,Tannum Sands/Gladstone,C,Low,2,website_events,Tannum Fitness official site,https://www.tannumfitness.com.au/,program updates and venue activity info,low,fortnightly,public web,C,verified,coverage source,"Check for upcoming events, deadlines, recaps, and sponsor clues."
